TANGGAL,DESKRIPSI,NOMER PART,Qty,Sat,PENGGUNA,No Lamb, HARGA  , JUMLAH 
2023-10-04,Ban Dalam IBK 700/750-16,DIRGAPUTRA EKAPRATAMA,1,pcs, N 9616 UH ,115,"134,390","134,390"
2023-10-04,Pasang Daun Velg,Bambang AS,1,pcs, N 9616 UH ,115,"150,000","150,000"
2023-10-04,Daun Velg L-6 LANTECH,P/N,1,pcs, N 9616 UH ,115,"400,000","400,000"
2023-10-04,Ban Dalam IBK 700/750-16,DIRGAPUTRA EKAPRATAMA,1,pcs, N 8444 UF ,127,"134,390","134,390"
2023-10-04,PINION CROWN WHEEL NMR I6-41210 531-0,ASTRA ISUZU,1,set, N 9491 UH ,114,"4,192,500","4,192,500"
2023-10-04,Ring Satelite Gardan Kecil,Makmur Motor,6,pcs, N 9491 UH ,114,"20,000","120,000"
2023-10-04,Ring Satelite Gardan Besar,Makmur Motor,2,pcs, N 9491 UH ,114,"35,000","70,000"
2023-10-04,BEARING GARDAN 30309 DJR KOYO,LAHAR JAYA,1,pcs, N 9491 UH ,114,"185,000","185,000"
2023-10-04,Bearing Gardan 30310J,Lahar jaya,1,pcs, N 9491 UH ,114,"185,000","185,000"
2023-10-04,SPACER COLLAR PINION Gardan NMR 1-41219004-0,73 Motor,1,pcs, N 9491 UH ,114,"160,000","160,000"
2023-10-04,Seal Pinion/MOB gardan  / PM SBY,8-97047609-0,1,pcs, N 9491 UH ,114,"45,000","45,000"
2023-10-04,Bearing Pinion NMR /JUB,1-098110062-1/J 30,1,pcs, N 9491 UH ,114,"290,000","290,000"
2023-10-04,BEARING GARDAN 3984/20 KOYO,LAHAR JAYA,2,pcs, N 9491 UH ,114,"185,000","370,000"
2023-10-04,LAMPU STOP NKR71 LH,73 MOTOR,1,pcs, N 8417 UE ,403,"50,000","50,000"
2023-10-04,LAMPU STOP NKR71 RH,73 MOTOR,1,pcs, N 8417 UE ,403,"50,000","50,000"
2023-10-04,DOP ENGKEL 24V,SEJATI MOTOR,2,pcs, N 8417 UE ,403,"2,500","5,000"
2023-10-04,DOP DOBEL 24V,SEJATI MOTOR,1,pcs, N 8417 UE ,403,"2,500","2,500"
2023-10-04,Ban Vulkanisir Jadi DGN 7.50-16 / MJS,1822210,1,pcs, N 8417 UE ,403,"1,050,000","1,050,000"
2023-10-04,Ban Vulkanisir Jadi DGN 7.50-16 / MJS,129310,1,pcs, N 8417 UE ,403,"1,050,000","1,050,000"
2023-10-04,Ban Dalam IBK 700/750-16,DIRGAPUTRA EKAPRATAMA,1,pcs, N 8417 UE ,403,"134,390","134,390"
2023-10-04,Marshet IBK R16 Besi,DIRGAPUTRA EKAPRATAMA,1,pcs, N 8417 UE ,403,"38,724","38,724"
2023-10-04,Ban Vulkanisir Jadi DGN 7.50-16 / MJS,324106,1,pcs, N 9613 UH ,118,"1,050,000","1,050,000"
2023-10-04,Ban Vulkanisir Jadi DGN 7.50-16 / MJS,1722207,1,pcs, N 9613 UH ,118,"1,050,000","1,050,000"
2023-10-04,Ban Dalam IBK 700/750-16,DIRGAPUTRA EKAPRATAMA,2,pcs, N 9613 UH ,118,"134,390","268,780"
2023-10-04,Marshet IBK R16 Besi,DIRGAPUTRA EKAPRATAMA,2,pcs, N 9613 UH ,118,"38,724","77,448"
2023-10-04,Ban 1100 GT / EX Mixer Hino Baru,UJB 720,1,set,N 8076 UF,129,"4,250,000","4,250,000"
2023-10-04,Service Dongkrak 32 TON Silver,Bengkel ANDALAN,1,pcs, N 9613 UH ,140,"218,000","218,000"
2023-10-04,Bensin Ecer ,Kas ,2,ltr, N 9491 UH ,114,"12,000","24,000"
2023-10-04,Ban Luar 7.50-16 BS/BSN,T1202-HNJ0223,1,set, N 9204 UF ,120,"2,175,000","2,175,000"
2023-10-04,Ban Luar 7.50-16 BS/BSN,T8901-HNJ0723,1,set, N 9204 UF ,120,"2,175,000","2,175,000"
2023-10-04,Ban Luar 7.50-16 BS/BSN,T8902-HNJ0723,1,set, N 9204 UF ,120,"2,175,000","2,175,000"
2023-10-04,Ban Luar 7.50-16 BS/BSN,T8902-HNJ0423,1,set, N 9204 UF ,120,"2,175,000","2,175,000"
2023-10-05,Oil Engine MEDITRAN SX,15W-40,3,ltr, N 8417 UE ,403,"32,100","96,300"
2023-10-05,Pasang Daun Velg,Bambang AS,1,pcs, N 8432 BF ,310,"150,000","150,000"
